Wall time,Step,Value
1682426228.527344,1,-940.0999755859375
1682426230.273954,2,1149.300048828125
1682426232.033553,3,999.2000122070312
1682426233.211627,4,-910.5
1682426234.496823,5,-850.5999755859375
1682426235.896428,6,-850.5999755859375
1682426236.933805,7,-910.5
1682426238.03047,8,-760.5
1682426239.335688,9,-910.5
1682426240.38275,10,-760.4000244140625
1682426241.847094,11,939.4000244140625
1682426243.37331,12,1299.4000244140625
1682426244.823197,13,1149.4000244140625
1682426245.982311,14,-850.5999755859375
1682426246.99804,15,-820.4000244140625
1682426248.202742,16,-850.5999755859375
1682426249.367869,17,-910.5
1682426250.945698,18,1149.4000244140625
1682426252.060834,19,-910.5
1682426253.416499,20,-910.5
1682426254.81969,21,-790.7000122070312
1682426255.968549,22,-760.5
1682426257.378371,23,-910.5
1682426258.545956,24,-820.4000244140625
1682426259.637727,25,-910.5
1682426260.668504,26,-700.5
1682426261.754055,27,-760.4000244140625
1682426262.886383,28,-910.5
1682426264.093158,29,-970.4000244140625
1682426265.38613,30,-700.5
1682426266.420902,31,-970.4000244140625
1682426267.606076,32,-910.5
1682426268.585436,33,-760.4000244140625
1682426269.719518,34,-910.5
1682426271.004584,35,-910.5
1682426272.05196,36,-970.4000244140625
1682426273.340483,37,-850.5999755859375
1682426274.932293,38,-910.5
1682426276.084394,39,-910.5
1682426277.618404,40,-850.5999755859375
1682426279.115211,41,-850.5999755859375
1682426281.366712,42,1419.300048828125
1682426282.905318,43,-850.5999755859375
1682426284.127768,44,-760.5
1682426286.364916,45,1539.0999755859375
1682426287.628832,46,-910.5
1682426289.037635,47,-910.5
1682426290.374393,48,-910.5
1682426291.694803,49,-970.5
1682426293.055424,50,-850.5999755859375
1682426295.452779,51,1599.0
1682426296.926848,52,-850.5999755859375
1682426298.605346,53,-850.5999755859375
1682426300.989226,54,1479.0999755859375
1682426302.293225,55,-850.5999755859375
1682426304.985309,56,1539.0999755859375
1682426306.376135,57,-850.5999755859375
1682426308.724228,58,1389.0
1682426310.933604,59,1269.0999755859375
1682426312.180847,60,-970.4000244140625
1682426314.392803,61,1209.199951171875
1682426316.678266,62,1479.0999755859375
1682426318.60483,63,1149.300048828125
1682426320.655081,64,1269.199951171875
1682426321.849589,65,-970.4000244140625
1682426324.402885,66,1419.199951171875
1682426326.795808,67,1479.199951171875
1682426329.500143,68,1479.199951171875
1682426331.582445,69,1269.199951171875
1682426332.872492,70,-910.5
1682426335.424571,71,1389.0
1682426338.131169,72,1269.199951171875
1682426339.427097,73,-910.5
1682426340.568629,74,-970.4000244140625
1682426343.496382,75,1479.199951171875
1682426345.900918,76,1269.199951171875
1682426347.783627,77,-700.5
1682426350.120979,78,1479.199951171875
1682426352.295309,79,1329.0999755859375
1682426354.893686,80,1479.199951171875
1682426357.423037,81,1479.0999755859375
1682426358.810876,82,-970.5
1682426361.597907,83,1479.199951171875
1682426363.604309,84,1419.199951171875
1682426366.279581,85,1539.0999755859375
1682426368.809799,86,1539.0999755859375
1682426371.401643,87,1479.199951171875
1682426373.611192,88,999.2999877929688
1682426375.974179,89,1539.0999755859375
1682426378.476052,90,1329.0999755859375
1682426380.774476,91,1269.199951171875
1682426383.321731,92,1599.0
1682426385.773806,93,1539.0999755859375
1682426387.858974,94,1419.199951171875
1682426390.508189,95,1479.0999755859375
1682426392.840663,96,1419.199951171875
1682426395.346514,97,1539.0999755859375
1682426397.918269,98,1479.199951171875
1682426400.086219,99,1209.199951171875
1682426402.750712,100,1479.0999755859375
