Wall time,Step,Value
1682426488.644081,1,-940.0999755859375
1682426489.858474,2,-850.5999755859375
1682426491.108384,3,-850.5999755859375
1682426492.359023,4,-910.5
1682426493.663071,5,-910.5999755859375
1682426494.827034,6,-910.5
1682426495.887765,7,-760.4000244140625
1682426497.058247,8,-850.5999755859375
1682426498.225041,9,-850.5999755859375
1682426499.425702,10,-910.5
1682426500.485706,11,-760.5
1682426501.809362,12,-700.5
1682426503.244789,13,-850.5999755859375
1682426504.392491,14,-910.5
1682426505.574699,15,-850.5999755859375
1682426506.758958,16,-910.5
1682426508.079312,17,-850.5999755859375
1682426509.159599,18,-760.4000244140625
1682426510.507787,19,-850.5999755859375
1682426511.824982,20,-850.5999755859375
1682426512.842939,21,-910.5
1682426514.008455,22,-910.5
1682426515.309885,23,-850.5999755859375
1682426516.389135,24,-760.4000244140625
1682426517.694491,25,-970.4000244140625
1682426519.275815,26,-850.7000122070312
1682426520.52811,27,-850.5999755859375
1682426521.998853,28,-910.5
1682426523.229556,29,-850.5999755859375
1682426524.262175,30,-880.2999877929688
1682426525.513188,31,-910.5
1682426526.806067,32,-910.5
1682426528.112235,33,-850.5999755859375
1682426529.351259,34,-850.5999755859375
1682426531.506699,35,1539.0999755859375
1682426533.823932,36,1479.199951171875
1682426534.849763,37,-700.5
1682426535.80741,38,-760.4000244140625
1682426537.674371,39,1269.199951171875
1682426539.082376,40,-910.5
1682426540.484509,41,-910.5
1682426541.533905,42,-760.4000244140625
1682426542.804147,43,-910.5
1682426543.998801,44,-910.5
1682426545.281988,45,-910.5
1682426546.417871,46,-970.4000244140625
1682426547.733067,47,-760.5
1682426548.94899,48,-910.5
1682426550.418418,49,-910.5
1682426551.599631,50,-910.5
1682426552.799135,51,-970.4000244140625
1682426554.334976,52,-850.5999755859375
1682426555.467263,53,-910.5
1682426556.901241,54,-910.5
1682426558.016168,55,-760.4000244140625
1682426559.401699,56,-910.5
1682426560.565948,57,-910.5
1682426561.849767,58,-910.5
1682426563.220141,59,-910.5
1682426564.609097,60,-970.4000244140625
1682426566.04463,61,-910.5
1682426567.177897,62,-760.4000244140625
1682426568.378836,63,-970.4000244140625
1682426569.685931,64,-850.5999755859375
1682426570.836592,65,-970.4000244140625
1682426571.985092,66,-970.4000244140625
1682426573.285088,67,-910.5
1682426574.635975,68,-970.4000244140625
1682426575.851306,69,-970.4000244140625
1682426577.002505,70,-910.5
1682426578.167644,71,-970.4000244140625
1682426579.370579,72,-910.5
1682426580.502697,73,-760.4000244140625
1682426582.013826,74,-970.4000244140625
1682426583.995931,75,-850.5999755859375
1682426585.161272,76,-970.4000244140625
1682426586.57761,77,-910.5
1682426587.76086,78,-970.4000244140625
1682426589.213521,79,-910.5
1682426591.473453,80,1359.300048828125
1682426593.473934,81,1359.300048828125
1682426595.673044,82,1269.199951171875
1682426598.19701,83,1479.0999755859375
1682426600.363863,84,1479.199951171875
1682426601.546227,85,-910.5
1682426603.956943,86,1539.0
1682426606.400483,87,1479.199951171875
1682426608.947428,88,1539.0999755859375
1682426611.147624,89,1479.199951171875
1682426612.497658,90,-910.5
1682426614.924985,91,1419.199951171875
1682426616.924667,92,1209.300048828125
1682426619.057887,93,1269.199951171875
1682426621.358146,94,1479.0999755859375
1682426624.02491,95,1539.0999755859375
1682426625.248585,96,-910.5
1682426627.592773,97,1269.199951171875
1682426630.108279,98,1539.0999755859375
1682426632.441779,99,1479.0999755859375
1682426634.959249,100,1539.0999755859375
