Wall time,Step,Value
1682422450.991473,1,-940.2000122070312
1682422453.630355,2,-821.0
1682422455.929451,3,-670.9000244140625
1682422458.59391,4,-881.0
1682422460.904325,5,-880.9000244140625
1682422463.471682,6,759.0
1682422466.397307,7,1028.800048828125
1682422468.179522,8,-730.7999877929688
1682422470.420245,9,-611.0
1682422473.477482,10,938.5999755859375
1682422476.288,11,878.7000122070312
1682422478.970904,12,1328.9000244140625
1682422481.272339,13,-611.0
1682422484.413498,14,1148.699951171875
1682422486.475592,15,-880.9000244140625
1682422488.639585,16,-790.7000122070312
1682422490.945061,17,-790.7999877929688
1682422493.610343,18,1178.9000244140625
1682422496.087066,19,1329.0
1682422499.397747,20,1478.5
1682422501.622502,21,-821.0
1682422504.096062,22,-761.0999755859375
1682422507.577146,23,1418.5
1682422509.800151,24,-671.0
1682422513.574114,25,1478.5
1682422517.444527,26,1568.699951171875
1682422521.328604,27,1568.5
1682422523.306362,28,-790.7000122070312
1682422527.737569,29,1478.5
1682422531.978454,30,1389.0
1682422536.4168,31,1658.9000244140625
1682422540.369536,32,1148.699951171875
1682422544.498192,33,1778.5
1682422548.293774,34,1778.5
1682422551.995824,35,1718.699951171875
1682422555.367975,36,1298.699951171875
1682422559.695191,37,1568.5999755859375
1682422562.850657,38,1298.800048828125
1682422566.273015,39,1238.9000244140625
1682422568.551803,40,-880.9000244140625
1682422570.53632,41,-790.7000122070312
1682422572.806454,42,-730.9000244140625
1682422574.664268,43,-850.5999755859375
1682422576.652405,44,-850.7000122070312
1682422578.435099,45,-790.7000122070312
1682422580.580637,46,-1000.7000122070312
1682422582.404021,47,-790.7000122070312
1682422584.306829,48,-790.7000122070312
1682422586.254057,49,-790.7000122070312
1682422588.081229,50,-850.5999755859375
1682422590.008322,51,-790.7000122070312
1682422591.89078,52,-850.7000122070312
1682422593.686909,53,-850.5999755859375
1682422595.647926,54,-790.7000122070312
1682422597.776665,55,-790.7999877929688
1682422599.849892,56,-790.7000122070312
1682422601.7096,57,-790.7000122070312
1682422604.04437,58,-730.9000244140625
1682422606.033792,59,-730.7999877929688
1682422609.867601,60,1478.5
1682422613.99978,61,1778.5999755859375
1682422618.213497,62,1838.5
1682422622.645192,63,1898.5
1682422626.896026,64,1898.5
1682422630.986016,65,1838.5
1682422634.67667,66,1568.5999755859375
1682422636.900748,67,-730.7999877929688
1682422641.028295,68,1418.5999755859375
1682422645.250301,69,1688.5
1682422649.087616,70,1628.5
1682422653.204631,71,1688.5
1682422657.147245,72,1568.5999755859375
1682422661.636282,73,1898.5
1682422665.573789,74,1778.5999755859375
1682422669.555661,75,1778.5999755859375
1682422673.975355,76,1898.4000244140625
1682422677.995892,77,1898.5
1682422681.592141,78,1718.699951171875
1682422685.738967,79,1778.5999755859375
1682422690.249705,80,1838.5999755859375
1682422694.144054,81,1628.5999755859375
1682422698.067152,82,1778.5999755859375
1682422702.425013,83,1898.5
1682422706.832708,84,1898.5
1682422711.142726,85,1838.5999755859375
1682422715.07026,86,1418.5999755859375
1682422719.608423,87,1898.5
1682422724.083191,88,1778.699951171875
1682422728.554919,89,1838.5999755859375
1682422732.441406,90,1628.5999755859375
1682422736.531964,91,1568.699951171875
1682422740.26694,92,1658.800048828125
1682422744.401817,93,1718.5999755859375
1682422748.493229,94,1838.5999755859375
1682422752.620925,95,1778.699951171875
1682422756.904626,96,1718.5999755859375
1682422761.288491,97,1838.5999755859375
1682422765.15607,98,1568.699951171875
1682422769.705161,99,1898.5
1682422771.605166,100,-850.5999755859375
