Wall time,Step,Value
1676390434.394826,1,-1000.2999877929688
1676390444.653784,2,-1200.6500244140625
1676390451.165369,3,-1200.550048828125
1676390457.323747,4,-1250.5999755859375
1676390470.023768,5,-1350.5999755859375
1676390482.68651,6,-1400.75
1676390494.768491,7,-1300.800048828125
1676390507.301534,8,-1500.9000244140625
1676390511.007862,9,-1200.4000244140625
1676390519.283056,10,-1350.5999755859375
1676390523.332958,11,-1150.4000244140625
1676390526.916897,12,-1250.3499755859375
1676390530.775539,13,-1200.4000244140625
1676390534.28313,14,-1100.3499755859375
1676390538.429181,15,-1150.4000244140625
1676390544.385829,16,-1250.449951171875
1676390548.406447,17,-1150.4000244140625
1676390557.817066,18,-200.8000030517578
1676390563.830736,19,-1150.449951171875
1676390569.304769,20,-1250.449951171875
1676390573.355416,21,-1050.4000244140625
1676390577.380378,22,-1200.4000244140625
1676390581.49925,23,-1050.300048828125
1676390586.990956,24,-1200.4000244140625
1676390590.993189,25,-1200.4000244140625
1676390595.442091,26,-1300.449951171875
1676390599.284539,27,-1150.3499755859375
1676390605.208313,28,-1250.449951171875
1676390609.301311,29,-1200.4000244140625
1676390613.255056,30,-1300.4000244140625
1676390622.73562,31,-400.8500061035156
1676390631.621955,32,-400.75
1676390637.759381,33,-1300.449951171875
1676390641.700552,34,-1150.4000244140625
1676390645.483961,35,-1250.4000244140625
1676390649.559546,36,-1200.4000244140625
1676390653.455373,37,-1150.4000244140625
1676390659.244629,38,-100.44999694824219
1676390663.587223,39,-1150.4000244140625
1676390670.795693,40,-350.70001220703125
1676390674.985644,41,-1350.4000244140625
1676390682.258685,42,-1150.550048828125
1676390691.908094,43,-350.79998779296875
1676390697.833211,44,-1200.5
1676390701.780215,45,-1200.4000244140625
1676390705.664395,46,-1300.4000244140625
1676390711.509131,47,-1300.449951171875
1676390715.764133,48,-1300.449951171875
1676390719.554225,49,-1200.4000244140625
1676390723.194256,50,-1150.4000244140625
1676390727.434288,51,-1250.449951171875
1676390736.652482,52,649.2000122070312
1676390748.111187,53,599.0
1676390752.481461,54,-1100.449951171875
1676390762.182182,55,-500.8999938964844
1676390766.243688,56,-1300.4000244140625
1676390770.341328,57,799.5999755859375
1676390780.200273,58,-400.8500061035156
1676390784.094436,59,-1150.4000244140625
1676390801.155159,60,-701.0
1676390805.426495,61,-1200.4000244140625
1676390809.923042,62,-1200.3499755859375
1676390814.320006,63,-1200.300048828125
1676390827.384819,64,-1350.6500244140625
1676390836.82562,65,-450.79998779296875
1676390840.741323,66,-150.35000610351562
1676390845.959847,67,-150.39999389648438
1676390855.985908,68,-350.8500061035156
1676390865.822595,69,-200.5
1676390869.696398,70,-1100.3499755859375
1676390880.393035,71,-450.79998779296875
1676390884.912551,72,-150.39999389648438
1676390893.961816,73,749.2000122070312
1676390898.081874,74,-1100.4000244140625
1676390901.884904,75,-1200.3499755859375
1676390905.715156,76,-1200.3499755859375
1676390930.52995,77,-451.1000061035156
1676390945.252075,78,-150.64999389648438
1676390954.65739,79,-300.75
1676390960.39317,80,-1300.5
1676390970.729165,81,-450.79998779296875
1676390974.370169,82,-1150.3499755859375
1676390978.387084,83,-1100.4000244140625
1676390982.352313,84,-1100.4000244140625
1676390986.703948,85,-1300.449951171875
1676390990.795548,86,-150.4499969482422
1676390995.255547,87,-1300.449951171875
1676391003.217563,88,-350.75
1676391006.795972,89,-1000.3499755859375
1676391010.840577,90,-1350.4000244140625
1676391014.830238,91,-1250.4000244140625
1676391018.825098,92,-1200.4000244140625
1676391023.090221,93,-1200.4000244140625
1676391031.739329,94,-350.79998779296875
1676391035.468029,95,-1250.4000244140625
1676391039.660986,96,-1200.4000244140625
1676391050.62114,97,-250.9499969482422
1676391054.707795,98,-1200.4000244140625
1676391059.323142,99,-1150.449951171875
1676391067.02512,100,599.25
1676391071.128567,101,-1200.4000244140625
1676391079.176326,102,499.20001220703125
1676391083.153181,103,-1200.4000244140625
1676391087.484745,104,-1100.4000244140625
1676391091.942519,105,-1250.449951171875
1676391099.118079,106,-250.6999969482422
1676391103.127392,107,-1250.4000244140625
1676391110.821957,108,649.25
1676391119.017869,109,1749.25
1676391129.272249,110,699.25
1676391133.263182,111,-1250.4000244140625
1676391136.986484,112,-1150.3499755859375
1676391144.802182,113,-300.75
1676391149.265115,114,-1100.4000244140625
1676391153.488316,115,-1200.4000244140625
1676391156.996679,116,-1200.3499755859375
1676391161.013586,117,-250.39999389648438
1676391164.98068,118,-1150.4000244140625
1676391168.578772,119,-1250.3499755859375
1676391175.845914,120,-300.70001220703125
1676391179.465689,121,-1200.3499755859375
1676391183.492678,122,-1250.4000244140625
1676391187.571593,123,-50.400001525878906
1676391191.756914,124,-1150.4000244140625
1676391195.841646,125,-1100.4000244140625
1676391210.1657,126,549.0
1676391216.835119,127,699.5
1676391221.057426,128,-150.39999389648438
1676391225.333051,129,-1300.4000244140625
1676391229.706366,130,-1200.4000244140625
1676391233.526375,131,-1150.4000244140625
1676391237.23112,132,-1400.4000244140625
1676391241.328376,133,-1200.4000244140625
1676391244.886066,134,-200.35000610351562
1676391252.079211,135,-300.70001220703125
1676391256.067645,136,-1200.4000244140625
1676391259.972755,137,-1150.4000244140625
1676391265.41128,138,-150.39999389648438
1676391278.172511,139,-1300.5999755859375
1676391290.570987,140,-300.70001220703125
1676391304.027949,141,-1400.699951171875
1676391326.480834,142,448.79998779296875
1676391338.922169,143,-1100.550048828125
1676391352.005008,144,-300.70001220703125
1676391364.397387,145,-1250.699951171875
1676391381.195727,146,-1400.75
1676391394.22497,147,-1300.6500244140625
1676391406.961,148,-1350.699951171875
1676391419.037529,149,-200.5500030517578
1676391431.10296,150,-1300.5999755859375
1676391455.864731,151,-601.0999755859375
1676391467.971634,152,-1300.5999755859375
1676391480.728689,153,-300.6499938964844
1676391494.186493,154,-1550.699951171875
