Wall time,Step,Value
1684604703.973584,1,376.20001220703125
1684604730.431911,2,436.1000061035156
1684604757.856323,3,345.8999938964844
1684604785.962647,4,195.8000030517578
1684604817.733375,5,1025.300048828125
1684604843.492135,6,226.1999969482422
1684604869.238342,7,436.20001220703125
1684604896.345766,8,496.0
1684604922.436572,9,376.20001220703125
1684604929.62303,10,1568.699951171875
1684604931.712609,11,-940.7999877929688
1684604933.963841,12,1269.199951171875
1684604936.222841,13,1269.199951171875
1684604938.045886,14,-1000.7000122070312
1684604940.006319,15,1419.300048828125
1684604941.846081,16,-850.7000122070312
1684604943.813085,17,-940.7999877929688
1684604946.173092,18,1209.199951171875
1684604948.30693,19,1359.300048828125
1684604950.723833,20,1479.199951171875
1684604953.006527,21,1269.199951171875
1684604955.537746,22,1269.199951171875
1684604958.037558,23,1209.300048828125
1684604959.855542,24,-1000.7000122070312
1684604962.504427,25,1359.300048828125
1684604964.511219,26,-1000.7000122070312
1684604966.745332,27,1209.300048828125
1684604968.312637,28,-850.5999755859375
1684604970.579154,29,1209.199951171875
1684604973.372495,30,1329.0999755859375
1684604975.212057,31,-1000.7000122070312
1684604977.146702,32,-1000.7000122070312
1684604979.406463,33,1359.300048828125
1684604981.539003,34,-940.7999877929688
1684604984.122069,35,1539.0999755859375
1684604985.864395,36,-790.7000122070312
1684604988.350625,37,1479.199951171875
1684604990.331733,38,1359.4000244140625
1684604992.169272,39,-1000.7000122070312
1684604993.968804,40,-1000.7000122070312
1684604995.939432,41,-790.7000122070312
1684604998.650385,42,1479.0999755859375
1684605000.506993,43,-850.7000122070312
1684605002.127111,44,-850.5999755859375
1684605004.236457,45,1419.300048828125
1684605006.042907,46,-1000.7000122070312
1684605007.948793,47,-1000.7000122070312
1684605010.522107,48,1539.0999755859375
1684605012.631421,49,-940.7999877929688
1684605015.625751,50,1599.0
1684605018.061201,51,1269.199951171875
1684605020.48427,52,1419.199951171875
1684605022.594148,53,1359.300048828125
1684605024.76119,54,1359.300048828125
1684605027.610688,55,1539.0
1684605030.194272,56,1059.0999755859375
1684605032.334838,57,-940.7999877929688
1684605034.100504,58,-1000.7000122070312
1684605036.494536,59,1209.199951171875
1684605041.876136,60,1448.800048828125
1684605047.28369,61,1448.9000244140625
1684605071.922741,62,106.30000305175781
1684605097.008286,63,316.29998779296875
1684605127.454541,64,1265.5999755859375
1684605140.506143,65,1987.9000244140625
1684605142.493465,66,-850.7000122070312
1684605145.036252,67,1269.0999755859375
1684605146.819623,68,-1000.7000122070312
1684605148.369625,69,-1060.5999755859375
1684605150.05903,70,-790.7000122070312
1684605152.436459,71,1479.199951171875
1684605154.159603,72,-1000.7000122070312
1684605157.086548,73,1329.0
1684605159.059829,74,-940.7999877929688
1684605161.153231,75,1209.300048828125
1684605163.803189,76,1119.0999755859375
1684605165.943325,77,-940.7999877929688
1684605168.269984,78,1269.199951171875
1684605170.570654,79,1479.199951171875
1684605172.393703,80,-1000.7000122070312
1684605174.277384,81,1359.4000244140625
1684605176.620589,82,1269.199951171875
1684605178.427346,83,-1000.7000122070312
1684605180.211595,84,-1000.7000122070312
1684605181.910987,85,-1060.5999755859375
1684605184.460886,86,1479.199951171875
1684605186.727625,87,1059.199951171875
1684605189.470873,88,1539.0999755859375
1684605191.310721,89,-1000.7000122070312
1684605193.126828,90,-1000.7000122070312
1684605195.127504,91,-940.7999877929688
1684605196.887618,92,-1000.7000122070312
1684605199.771154,93,1539.0
1684605201.627931,94,-1000.7000122070312
1684605204.688547,95,1539.0999755859375
1684605207.129031,96,1479.199951171875
1684605209.795244,97,1329.0999755859375
1684605211.87197,98,1299.4000244140625
1684605214.045137,99,-940.7999877929688
1684605215.778202,100,-1000.7000122070312
