Wall time,Step,Value
1682423867.862793,1,-940.0999755859375
1682423869.49182,2,-850.7000122070312
1682423870.851562,3,-910.5
1682423871.864484,4,-910.5
1682423873.014607,5,-910.5
1682423874.017101,6,-760.4000244140625
1682423875.199465,7,-700.5
1682423876.316819,8,-760.5
1682423877.798231,9,-790.7000122070312
1682423879.031911,10,-850.5999755859375
1682423880.29969,11,-850.5999755859375
1682423881.621552,12,-910.5
1682423882.670506,13,-910.5
1682423883.902002,14,-850.5999755859375
1682423885.461137,15,-850.5999755859375
1682423886.606876,16,-760.5
1682423887.888951,17,-760.4000244140625
1682423889.64228,18,-910.5
1682423892.207659,19,-910.5
1682423893.471451,20,-970.4000244140625
1682423894.858824,21,-850.5999755859375
1682423896.099653,22,-910.5
1682423897.424625,23,-910.5
1682423898.643716,24,-970.4000244140625
1682423899.9958,25,-910.5999755859375
1682423901.32808,26,-850.5999755859375
1682423902.337146,27,-700.5
1682423903.662494,28,-850.5999755859375
1682423905.080208,29,-760.5
1682423906.564628,30,-910.5
1682423907.767944,31,-850.5999755859375
1682423909.102546,32,-850.5999755859375
1682423910.272611,33,-910.5
1682423911.929257,34,-850.7000122070312
1682423913.297351,35,-850.5999755859375
1682423914.680207,36,-700.5999755859375
1682423916.037781,37,-850.5999755859375
1682423917.173809,38,-910.5
1682423918.307071,39,-910.5
1682423920.45836,40,1119.0999755859375
1682423921.744113,41,-910.5
1682423922.709943,42,-760.4000244140625
1682423924.848184,43,1209.199951171875
1682423926.800404,44,1269.199951171875
1682423927.830519,45,-820.4000244140625
1682423929.135027,46,-910.5999755859375
1682423930.498641,47,-910.5
1682423932.964467,48,1389.0
1682423934.382213,49,-910.5999755859375
1682423935.727305,50,-910.5
1682423938.181652,51,1329.0999755859375
1682423940.074862,52,1419.199951171875
1682423941.770108,53,-850.5999755859375
1682423943.256837,54,-910.5999755859375
1682423945.674405,55,1419.0999755859375
1682423947.162673,56,-910.5
1682423949.675137,57,1329.0999755859375
1682423952.094925,58,1329.0999755859375
1682423954.719425,59,1539.0999755859375
1682423956.104986,60,-910.5
1682423957.209944,61,-820.4000244140625
1682423958.389789,62,-910.5
1682423959.485673,63,-760.4000244140625
1682423960.730136,64,-970.4000244140625
1682423961.831042,65,-910.5
1682423962.962079,66,-760.4000244140625
1682423963.962599,67,-820.4000244140625
1682423965.15977,68,-910.5
1682423966.484422,69,-910.5
1682423967.576593,70,-820.2999877929688
1682423968.545011,71,-760.4000244140625
1682423969.700426,72,-970.4000244140625
1682423970.995983,73,-970.4000244140625
1682423972.176616,74,-910.5
1682423973.467504,75,-970.4000244140625
1682423974.725747,76,-910.5
1682423976.091697,77,-970.4000244140625
1682423977.36713,78,-760.5
1682423978.889478,79,-850.5999755859375
1682423981.144387,80,1329.0999755859375
1682423983.378544,81,1539.0999755859375
1682423985.616305,82,1269.199951171875
1682423987.608353,83,1419.199951171875
1682423990.193583,84,1539.0
1682423992.587172,85,1269.0999755859375
1682423995.309506,86,1479.0999755859375
1682423997.411931,87,1419.300048828125
1682423999.966239,88,1389.0
1682424002.034052,89,1419.199951171875
1682424004.185022,90,1539.0999755859375
1682424006.602328,91,1479.0999755859375
1682424008.763817,92,1419.300048828125
1682424011.183614,93,1539.0999755859375
1682424013.696392,94,1479.199951171875
1682424015.889645,95,1419.199951171875
1682424018.142628,96,1419.199951171875
1682424019.479292,97,-820.4000244140625
1682424020.847409,98,-910.5
1682424023.477947,99,1539.0999755859375
1682424025.999598,100,1479.0999755859375
